frame,start_us,end_us,relative_start_us,relative_end_us,event_count,valid_motion_events,scale,is_observable,scale_valid_points,scale_input_points,denominator,residual_rmse,weighted_residual_rmse,pred_dir_x,pred_dir_y,pred_dir_z,translation_metric_x,translation_metric_y,translation_metric_z,uncertainty_mean,uncertainty_median,depth_mean,depth_median,elapsed_seconds
748,24933084,24966417,1599984,1633317,11605,11605,2.5276140378501655,True,8629,11605,0.917863527118213,0.04069914415556542,0.04069914415556542,-0.5912880010905063,-0.14898662200160168,-0.79257900945437,-1.494547851971175,-0.3765806772237414,-2.0033338304055253,1.7943494557368922,1.489143967628479,52.54958006116348,51.5316047668457,0.30358249181881547
749,24966417,24999750,1633317,1666650,13811,13811,1.763466347111491,True,12256,13811,1.3013985814458218,0.05593710936980773,0.05593710936980773,-0.7524092080316513,-0.0665798881118576,0.655322441370907,-1.3268483176231936,-0.11741139207993649,1.1556390718667737,1.6150467359881102,1.3860472440719604,52.573224243148594,50.1041259765625,0.27303954493254423
750,24999750,25033083,1666650,1699983,12583,12583,1.654084591342688,True,11565,12583,2.9979083453420667,0.06078350614256747,0.06078350614256747,-0.9175308415933847,-0.2760550446450204,-0.2862355097602665,-1.5176736271637736,-0.45661839571048846,-0.47345774619034614,1.2699631687318402,1.0207023620605469,49.32103944281407,46.89231872558594,0.23573439614847302
751,25033083,25066416,1699983,1733316,15111,15111,1.8894402369129841,True,14152,15111,4.171171848105178,0.07521114994798046,0.07521114994798046,-0.9967297856807373,0.08048182924515175,0.007239440236287505,-1.8832613623979013,0.15206560651639706,0.013678489675190687,1.0274361856029681,1.0291889905929565,47.946231455295184,44.31058883666992,0.24394143419340253
752,25066416,25099749,1733316,1766649,13462,13462,2.039214853370278,True,12731,13462,5.377714917580427,0.0701393373234902,0.0701393373234902,-0.9185724311087365,0.392722580936758,0.044650456063743724,-1.8731665454158701,0.8008457203012119,0.09105187321506414,1.0527853074315738,0.92604660987854,40.93579153858027,38.29490280151367,0.23189183697104454
753,25099749,25133082,1766649,1799982,12762,12762,1.58335818335639,True,11847,12762,2.8518296668384613,0.06411753808251107,0.06411753808251107,-0.7854486924431375,0.5468577101854343,0.28985685492401453,-1.2436466147886989,0.8658716305552324,0.458947223246726,1.0945402055209168,1.0544594526290894,47.43931242358888,47.63713073730469,0.20835405215620995
754,25133082,25166415,1799982,1833315,12808,12808,2.8802760886859153,True,11520,12808,1.7211403627005875,0.062235071816560364,0.062235071816560364,-0.3032286648877043,0.5644855416315243,-0.7677294120175902,-0.8733822728813052,1.6258742079722381,-2.2112726680179375,1.051043587800992,1.0147316455841064,49.71590263913528,49.791324615478516,0.19209795910865068
755,25166415,25199748,1833315,1866648,11457,11455,1.725891967783691,True,10540,11455,1.9983884733830164,0.05455769625023157,0.05455769625023157,-0.05728003056278676,0.7410054103056258,-0.6690515525679476,-0.09885914466286315,1.2788952857326155,-1.154710700611924,1.5600454314495995,1.2774866819381714,50.40860256609673,48.8169059753418,0.19734169030562043
756,25199748,25233081,1866648,1899981,11615,11615,2.879211849905489,True,10560,11615,1.950263281699811,0.05789997644710631,0.05789997644710631,0.05495772708111903,0.5516717243832177,-0.8322487349031238,0.15823493905600966,1.5883797661037615,-2.396220419604651,1.258920056093404,1.159256935119629,45.92114316748998,42.46391296386719,0.1944714868441224
757,25233081,25266414,1899981,1933314,11807,11807,3.3411843652507085,True,11090,11807,2.266111465744035,0.05921778239873976,0.05921778239873976,0.2422761845314958,0.47555314266498855,-0.8456662810521478,0.809489399829935,1.5889107251194845,-2.825526956473611,1.1607674977201736,1.0350430011749268,42.265156354409044,39.92002868652344,0.18190835136920214
758,25266414,25299747,1933314,1966647,12207,12207,3.103477027657235,True,10795,12207,2.305710794313715,0.05517558461749977,0.05517558461749977,0.2718407752739135,0.6106430844292904,-0.7437860017067187,0.8436516012440908,1.8951167846262331,-2.3083227697924733,1.1253599948156296,1.0684465169906616,46.00731534247728,42.196678161621094,0.18436756124719977
759,25299747,25333080,1966647,1999980,11248,11248,3.0337403919811003,True,9465,11248,1.5683384199330608,0.05070537489770916,0.05070537489770916,0.14743174163775172,0.20081865320087455,-0.9684708307856161,0.44726962966694145,0.6092316596792449,-2.9380890778122626,1.2458318471242866,1.1588712930679321,33.06452710920174,28.588821411132812,0.17262250883504748
760,25333080,25366413,1999980,2033313,11876,11876,2.1377244552964902,True,10850,11876,4.249539751080607,0.054250609754086895,0.054250609754086895,0.4509801404103217,-0.021360327242605844,-0.8922783474754827,0.9640712750091522,-0.045662493919699954,-1.9074452443317833,1.306373438600291,1.2082164287567139,26.760341352788476,23.374853134155273,0.18974759709089994
761,25366413,25399746,2033313,2066646,14620,14620,7.260973032584439,True,14370,14620,3.258077174707254,0.09954507688583557,0.09954507688583557,0.7529933889173901,0.07154187366059857,-0.6541274467242288,5.467464690648665,0.5194636153506564,-4.7496017505423955,0.9420702967447167,0.6583362817764282,47.47133517741505,46.8449649810791,0.2872444298118353
762,25399746,25433079,2066646,2099979,15653,15653,3.7851787410285906,True,15027,15653,9.823515098355237,0.08366134872855038,0.08366134872855038,0.5566416523124874,-0.09989513606598452,-0.8247248224101567,2.1069881487060655,-0.37812094536944785,-3.1217308649881863,0.9923451985246644,0.874509334564209,25.891197989011797,24.573646545410156,0.26459434488788247
763,25433079,25466412,2099979,2133312,14298,14298,4.519183779620346,True,13879,14298,5.85538668958634,0.09186556071736504,0.09186556071736504,0.7302464187753885,-0.37709766267942046,-0.569681946936606,3.30011777085881,-1.7041736405152483,-2.5744974141409664,1.2810254605756133,0.906582236289978,37.19945152497222,35.13010787963867,0.3118630680255592
764,25466412,25499745,2133312,2166645,14911,14911,2.2150894341493887,True,14316,14911,11.966081049581923,0.07423698698894471,0.07423698698894471,0.6842831593855032,-0.3212269336939793,-0.6546524382059588,1.515748396322669,-0.711546386790434,-1.4501136989115695,0.9310593181392789,0.8516987562179565,26.119328990867462,24.590986251831055,0.2712488016113639
765,25499745,25533078,2166645,2199978,12836,12836,4.26177954844672,True,12389,12836,2.3124070946517925,0.06628868535959943,0.06628868535959943,0.5733315329734847,-0.4739440138950747,-0.6683322713960596,2.443412601708304,-2.0198449055286787,-2.8482848058053505,1.1756939919449314,0.8829983770847321,46.607615954558696,45.07196044921875,0.24538820795714855
766,25533078,25566411,2199978,2233311,12141,12141,4.325188254284415,True,11029,12141,0.7909122624909781,0.05234293949634392,0.05234293949634392,0.4137324836498272,-0.18373133813859538,-0.8916659841873225,1.789470878699941,-0.7946726256618055,-3.8566232415558166,1.4385467312064293,1.2854866981506348,48.760954684612635,49.12152099609375,0.21381834475323558
767,25566411,25599744,2233311,2266644,10450,10450,5.555543307287365,True,5636,10450,0.11452717297290281,0.031839164207979394,0.031839164207979394,-0.00579018736098609,-0.08805689000164768,-0.9960986185368751,-0.03216763664130623,-0.4892038659098028,-5.533869013617619,2.057733886857031,1.648066222667694,41.27335362721858,42.14557075500488,0.28828219417482615
768,25599744,25633077,2266644,2299977,10192,10192,2.451418575137485,True,2797,10192,0.5097084296577961,0.015078654288722428,0.015078654288722428,-0.1690219195559195,-0.13739618405486576,-0.9759886676156736,-0.41434347320530845,-0.3368155577455405,-2.3925567489198287,2.864510160627785,3.611268401145935,19.88825790305714,18.927337646484375,0.5063518029637635
769,25633077,25666410,2299977,2333310,10211,10211,4.356491365918615,True,6142,10211,0.22933648947789614,0.027625665031310098,0.027625665031310098,0.033286357631931475,0.11149948771580707,-0.9932068679952235,0.1450117296265214,0.48574655553870677,-4.326897144996221,2.6430066726356087,3.2216649055480957,43.78753341366222,45.454734802246094,0.4510354339145124
770,25666410,25699743,2333310,2366643,11167,11167,2.8615275021095097,True,5269,11167,0.3361941057651048,0.03846834692267023,0.03846834692267023,-0.3860781435097235,-0.0120147861168826,-0.9223878316706468,-1.1047732256189824,-0.034380640905501705,-2.6394381479427484,1.7055160306723363,1.4080171585083008,51.36145948558803,52.326271057128906,0.21235867543146014
771,25699743,25733076,2366643,2399976,11290,11290,2.5504837979897346,True,8162,11290,1.0837002462358907,0.04682628765760101,0.04682628765760101,-0.4002027520130145,0.29426181539883234,-0.8678984625382807,-1.02071063492167,0.7505099925429245,-2.2135609670074965,1.3444947661521396,1.2211729288101196,43.78465123949481,42.42197799682617,0.18150745425373316
772,25733076,25766409,2399976,2433309,13133,13130,3.7118173548623967,True,10414,13130,0.7590468344880597,0.05735036229555475,0.05735036229555475,-0.3919381265130236,0.24442718841227284,-0.8869271979974666,-1.4548027400252552,0.9072690799501179,-3.29211176603091,1.1059418789942743,1.0610235333442688,51.712623098363245,52.416812896728516,0.20154602592810988
773,25766409,25799742,2433309,2466642,11396,11396,2.5461134753383488,True,8360,11396,1.4450975652945466,0.04587549999132702,0.04587549999132702,-0.16364481260176275,0.4665201961063557,-0.8692406352274203,-0.41665826253516114,1.1878133578255752,-2.2131852946673574,1.4028227008703806,1.2832384705543518,41.19404027804277,39.430843353271484,0.1855486216954887
774,25799742,25833075,2466642,2499975,12564,12564,2.042138977724145,True,9268,12564,1.781905734901499,0.05158430326433383,0.05158430326433383,-0.16448147104064847,0.6113936896434574,-0.7740436692750028,-0.33589402312614397,1.248550884357827,-1.5807047474900677,1.2939387795020048,1.1934130191802979,43.15075561705003,42.366628646850586,0.20151354605332017
775,25833075,25866408,2499975,2533308,11544,11544,2.9566673827844276,True,9422,11544,1.1253482028577997,0.05201709169516386,0.05201709169516386,0.05623295083322944,0.5078743804194547,-0.8595937813592708,0.1662621315665471,1.5016156151400135,-2.541532895792605,1.3561168842191749,1.2545196413993835,49.11534734443088,47.08037567138672,0.2068840148858726
776,25866408,25899741,2533308,2566641,12272,12268,2.5349064654158497,True,10384,12268,1.6961118853602333,0.04934198360187214,0.04934198360187214,0.2893706230526932,0.44185228773648183,-0.8491355594565603,0.7335274632786117,1.1200542209434077,-2.1524792196836597,1.6357693357819711,1.3416742086410522,41.713200711566536,35.898136138916016,0.22441396908834577
777,25899741,25933074,2566641,2599974,13146,13146,3.9070265653240424,True,12115,13146,1.4639360213846613,0.06636956964346795,0.06636956964346795,0.24506480196037123,0.2511272089870452,-0.9364178382245203,0.9574746914857243,0.9811606767887634,-3.6586093701891045,1.2320656921114774,1.1107850670814514,36.21436087130847,35.36127853393555,0.21381554519757628
778,25933074,25966407,2599974,2633307,13371,13371,2.507537422608037,True,12062,13371,4.362686248346472,0.05369262388567993,0.05369262388567993,0.401463089793516,0.1897220496811778,-0.8960094482740794,1.006683721453996,0.4757351394698818,-2.246777222559652,1.3767593700892036,1.1937834024429321,28.80014552289783,25.12803840637207,0.22598560713231564
779,25966407,25999740,2633307,2666640,12913,12913,4.626090186903011,True,11977,12913,2.0199679380618294,0.0639283090613285,0.0639283090613285,0.5018645260748477,0.04874227081025794,-0.8635717622191298,2.3216705592315274,0.2254861406828922,-3.994960854891802,1.2024819845570114,0.972367525100708,39.47304344014768,38.19158172607422,0.2150393407791853
780,25999740,26033073,2666640,2699973,12472,12472,3.9247434457730956,True,11722,12472,1.4724836478117196,0.06403856295336045,0.06403856295336045,0.5997358204815461,0.051144038843767926,-0.7985619781332255,2.35380923063268,0.2007272312426459,-3.1341508897251464,1.1849155472469242,1.0896852016448975,48.44706554073336,49.896371841430664,0.1968417689204216
