host_id,target_id,output,tested_points,valid_points,valid_fraction,rmse,mae_scalar,aepe
45,46,all_final,479,479,1.0,0.29755347478266425,0.11077577901848921,0.11077577901848946
45,46,all_nonfinal,8670,8670,1.0,0.5749983591241963,0.12579396448438923,0.12579396448438937
45,46,immature,5530,5530,1.0,0.6776158896884162,0.13136164541752524,0.1313616454175254
45,46,immature_final,6,6,1.0,0.025947872714560245,0.02089004714648442,0.020890047146484413
45,46,immature_nonfinal,5524,5524,1.0,0.677983253324081,0.13148163629182397,0.13148163629182413
45,46,marginalized,1319,1319,1.0,0.2483497137222915,0.10911737701321975,0.10911737701321966
45,46,marginalized_final,387,387,1.0,0.23742514697141823,0.10110051504365838,0.1011005150436585
45,46,marginalized_nonfinal,932,932,1.0,0.25274728120774187,0.11244626712289803,0.11244626712289797
45,46,outlier,572,572,1.0,0.47550754308936166,0.15850421382812954,0.1585042138281296
45,46,outlier_final,86,86,1.0,0.4893069955535324,0.16058556447769376,0.16058556447769395
45,46,outlier_nonfinal,486,486,1.0,0.47302374542306697,0.1581359089806759,0.15813590898067592
47,48,active,387,387,1.0,1.512222401275485,0.34445225459501105,0.3444522545950111
47,48,active_nonfinal,387,387,1.0,1.512222401275485,0.34445225459501105,0.3444522545950111
47,48,all,3778,3778,1.0,0.9459976547767456,0.2083148554962168,0.2083148554962169
47,48,all_final,634,634,1.0,0.8592389572945788,0.18438261236091263,0.18438261236091263
47,48,all_nonfinal,3144,3144,1.0,0.9625458944589589,0.21314088671370493,0.21314088671370487
47,48,immature,2703,2703,1.0,0.7677158054818374,0.17726135076738292,0.1772613507673828
47,48,immature_final,299,299,1.0,0.23803990119380414,0.10289938999307671,0.10289938999307663
47,48,immature_nonfinal,2404,2404,1.0,0.8097195375936411,0.18651019697017726,0.1865101969701772
47,48,marginalized,590,590,1.0,0.3017546899493707,0.13954109047872298,0.13954109047872293
47,48,marginalized_final,291,291,1.0,0.30349196983444754,0.14005807087250785,0.1400580708725079
47,48,marginalized_nonfinal,299,299,1.0,0.30005423406315107,0.1390379423362769,0.13903794233627687
47,48,outlier,98,98,1.0,2.9435857587663183,0.9412635411199234,0.9412635411199234
47,48,outlier_final,44,44,1.0,3.105462136727646,1.0312445455679282,1.0312445455679284
47,48,outlier_nonfinal,54,54,1.0,2.80478735592679,0.8679456856437711,0.8679456856437712
49,50,active,864,864,1.0,2.1154913697447877,0.3778734994659811,0.37787349946598137
49,50,active_nonfinal,864,864,1.0,2.1154913697447877,0.3778734994659811,0.37787349946598137
49,50,all,4804,4804,1.0,1.3770837484727902,0.2273233729643588,0.2273233729643586
49,50,all_final,595,595,1.0,1.4786414252420343,0.2280961441354797,0.22809614413547957
49,50,all_nonfinal,4209,4209,1.0,1.3621164495300455,0.2272141311380778,0.2272141311380776
49,50,immature,2941,2941,1.0,0.9483574486464736,0.1730986822337795,0.17309868223377955
49,50,immature_final,134,134,1.0,0.1611178387374858,0.08508226328176087,0.08508226328176087
