method,mode,sequence,exposure_next,photometric_condition,radius_bin,tested_points,valid_points,valid_fraction,mean_normal_error,median_normal_error,p90_normal_error,mean_EPE,median_EPE,p90_EPE,mean_abs_It,runtime_ms,ms_per_pair,ms_per_valid_point
classical_nf,full_photometric_affine,Office,0.5,synthetic_gamma_vignette_exposure,all,17843,17843,1.0,6.659599781036377,3.1179232597351074,17.78590965270996,6.6657795906066895,3.12140154838562,17.785934448242188,0.14206844568252563,23958.597391002513,39.21210702291737,1.3427449078631684
classical_nf,full_photometric_affine,Office,0.5,synthetic_gamma_vignette_exposure,center,3155,3155,1.0,5.461538791656494,2.5253241062164307,13.978726387023926,5.469502925872803,2.525726556777954,13.979037284851074,0.17085924744606018,0.0,0.0,0.0
classical_nf,full_photometric_affine,Office,0.5,synthetic_gamma_vignette_exposure,middle,9589,9589,1.0,6.771521091461182,3.139097213745117,17.951820373535156,6.77786111831665,3.1437618732452393,17.962228775024414,0.13744278252124786,0.0,0.0,0.0
classical_nf,full_photometric_affine,Office,0.5,synthetic_gamma_vignette_exposure,border,5099,5099,1.0,7.190425872802734,3.748453378677368,19.363616943359375,7.195196628570557,3.75406813621521,19.36380386352539,0.1329530030488968,0.0,0.0,0.0
classical_nf,baseline,Office,0.75,synthetic_gamma_vignette_exposure,all,17843,16005,0.8969904164097966,6.876967430114746,3.436408042907715,17.66693115234375,6.8845319747924805,3.4433228969573975,17.681316375732422,0.11701828986406326,2311.064861998375,3.7824302160366203,0.1443964299905264
classical_nf,baseline,Office,0.75,synthetic_gamma_vignette_exposure,center,3155,2954,0.9362916006339144,6.015048503875732,2.941091299057007,14.727238655090332,6.022579193115234,2.944155693054199,14.72885513305664,0.12504923343658447,0.0,0.0,0.0
classical_nf,baseline,Office,0.75,synthetic_gamma_vignette_exposure,middle,9589,8548,0.8914381061633121,6.914809703826904,3.3847460746765137,17.76151466369629,6.922706127166748,3.39376163482666,17.76207733154297,0.1184578463435173,0.0,0.0,0.0
classical_nf,baseline,Office,0.75,synthetic_gamma_vignette_exposure,border,5099,4503,0.883114336144342,7.370558738708496,3.956982374191284,19.239177703857422,7.377514839172363,3.957972764968872,19.239839553833008,0.10901719331741333,0.0,0.0,0.0
classical_nf,response,Office,0.75,synthetic_gamma_vignette_exposure,all,17843,17040,0.954996357114835,7.079954147338867,3.7790281772613525,17.53733253479004,7.088593482971191,3.784389019012451,17.543682098388672,0.12482748180627823,8677.728518002823,14.202501666125734,0.5092563684273957
classical_nf,response,Office,0.75,synthetic_gamma_vignette_exposure,center,3155,3151,0.9987321711568938,6.2759552001953125,3.281795024871826,14.661182403564453,6.285834789276123,3.281911611557007,14.661235809326172,0.14737489819526672,0.0,0.0,0.0
classical_nf,response,Office,0.75,synthetic_gamma_vignette_exposure,middle,9589,9293,0.969131296276984,7.187406063079834,3.757758855819702,17.76976203918457,7.196352481842041,3.760432720184326,17.770254135131836,0.1263868361711502,0.0,0.0,0.0
classical_nf,response,Office,0.75,synthetic_gamma_vignette_exposure,border,5099,4596,0.9013532065110806,7.4139084815979,4.1887359619140625,18.838687896728516,7.421072483062744,4.192496299743652,18.838706970214844,0.10621612519025803,0.0,0.0,0.0
classical_nf,vignette,Office,0.75,synthetic_gamma_vignette_exposure,all,17843,16535,0.9266939416017486,6.933692932128906,3.5386550426483154,17.65951919555664,6.941687107086182,3.5451438426971436,17.66168975830078,0.12921647727489471,3455.921262998345,5.656172279866358,0.20900642654964288
classical_nf,vignette,Office,0.75,synthetic_gamma_vignette_exposure,center,3155,2956,0.9369255150554675,6.015861511230469,2.942157745361328,14.725820541381836,6.023184299468994,2.942967176437378,14.72701358795166,0.12710069119930267,0.0,0.0,0.0
